short_window,long_window,short_type,long_type,tp_multiplier,sl_multiplier,total_return,sharpe_ratio,win_rate,max_drawdown,total_trades,long_trades,short_trades,long_winrate,short_winrate,total_pnl,strategy_name,combo_type
50,200,EMA,SMA,1.5,2.5,0.18650857242057556,0.21969715715900084,64.28571428571429,4.232404947888813,28,10,18,50.0,72.22,0.9299999999999997,EMA50/SMA200,EMA/SMA
21,200,SMA,SMA,2.5,2.5,0.13098612412552485,0.19750635927945714,50.0,7.200302671841015,38,13,25,38.46,56.0,0.6600000000000001,SMA21/SMA200,SMA/SMA
20,200,EMA,SMA,3.0,3.0,0.11896110811564994,0.19795447169063596,46.51162790697674,8.13160455195776,43,15,28,46.67,46.43,0.5899999999999999,EMA20/SMA200,EMA/SMA
21,26,EMA,EMA,3.0,3.0,0.11724659876763326,0.2399914755363062,41.0,17.23433604882527,100,51,49,41.18,40.82,0.5899999999999999,EMA21/EMA26,EMA/EMA
9,200,EMA,SMA,3.0,2.5,0.028887347817226326,0.16232594221377436,45.0,11.398828311335418,60,23,37,39.13,48.65,0.14000000000000057,EMA9/SMA200,EMA/SMA
9,50,SMA,SMA,2.5,1.5,0.024091938028675486,0.18292721873248813,41.83673469387755,13.606279585655162,98,46,52,39.13,44.23,0.12,SMA9/SMA50,SMA/SMA
21,200,SMA,SMA,2.0,1.5,0.004924439725948559,0.10166029186184386,43.58974358974359,4.4473058818986315,39,13,26,30.77,50.0,0.030000000000001137,SMA21/SMA200,SMA/SMA
21,200,SMA,SMA,3.0,3.0,-0.014501622783006951,0.15004193626211146,48.717948717948715,9.227784033885932,39,13,26,38.46,53.85,-0.07000000000000028,SMA21/SMA200,SMA/SMA
21,26,EMA,EMA,1.5,3.0,-0.03627317393442127,0.15023465586352805,55.88235294117647,11.513321237018353,102,53,49,50.94,61.22,-0.17999999999999972,EMA21/EMA26,EMA/EMA
21,26,EMA,EMA,1.5,1.5,-0.04801222624784032,0.13138901811973394,51.45631067961165,9.435483466209906,103,53,50,47.17,56.0,-0.2400000000000002,EMA21/EMA26,EMA/EMA
20,200,EMA,SMA,3.0,2.5,-0.08398639424875683,0.1018502833173665,44.18604651162791,9.072078371071033,43,15,28,46.67,42.86,-0.4200000000000008,EMA20/SMA200,EMA/SMA
26,200,EMA,SMA,2.5,3.0,-0.13629312704013047,0.10183706198996997,54.761904761904766,5.4584971712423505,42,17,25,58.82,52.0,-0.6799999999999997,EMA26/SMA200,EMA/SMA
21,200,SMA,SMA,2.5,3.0,-0.16291789021909153,0.08654095688619612,53.84615384615385,9.399697258752294,39,13,26,38.46,61.54,-0.8200000000000003,SMA21/SMA200,SMA/SMA
